total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
84809.0,87,25,86.42742742742743,18.52152152152152
81549.0,86,28,88.66666666666667,21.15215215215215
89475.0,88,19,86.7897897897898,15.524524524524525
84615.0,86,28,86.10110110110111,19.266266266266268
81474.0,89,30,87.993993993994,21.21921921921922
86075.0,90,25,88.1961961961962,18.344344344344343
81396.0,88,30,88.70070070070071,20.98898898898899
83368.0,91,32,88.32932932932933,19.812812812812812
86421.0,88,18,87.35235235235236,17.68068068068068
83420.0,90,27,89.90690690690691,21.11011011011011
86831.0,90,22,87.77977977977977,16.147147147147148
91174.0,88,20,88.47347347347348,16.53853853853854
80787.0,90,28,88.41741741741741,21.506506506506508
84026.0,87,27,86.93393393393393,18.813813813813812
86753.0,91,28,87.53153153153153,17.2982982982983
87323.0,88,18,87.57957957957957,16.604604604604603
78644.0,91,35,87.81281281281281,23.095095095095097
85129.0,91,25,88.68768768768768,18.75275275275275
81111.0,86,32,85.81981981981981,21.55055055055055
83340.0,86,20,86.03503503503504,18.453453453453452
82251.0,88,26,87.78678678678679,19.65765765765766
84492.0,91,31,89.16416416416416,19.78178178178178
81359.0,89,28,88.71071071071071,21.73973973973974
82274.0,90,28,87.41141141141141,19.684684684684683
79601.0,88,30,87.36736736736736,21.07007007007007
79324.0,92,31,88.2022022022022,22.51251251251251
80543.0,87,34,85.98298298298299,22.22222222222222
84579.0,89,30,87.25925925925925,19.37237237237237
79370.0,90,38,89.03103103103103,23.826826826826828
86581.0,87,26,86.72872872872873,19.56956956956957
81490.0,89,32,88.51251251251252,20.69169169169169
83507.0,84,26,85.50350350350351,19.94794794794795
81352.0,88,30,86.74374374374375,20.773773773773772
83997.0,92,25,86.85585585585585,18.46246246246246
84830.0,88,22,88.33233233233233,20.18018018018018
86651.0,91,30,87.64864864864865,18.51151151151151
85899.0,90,25,88.28728728728728,18.56156156156156
86647.0,88,24,88.48548548548548,17.45745745745746
